,mean,median,std
US-Vcp,1060.8566932608694,1066.68395,63.89469898384606
US-Whs,1799.4143260869562,1796.34755,80.33757156705816
US-Wi0,837.0739382608696,826.643975,47.27776571560849
US-Wjs,1655.4272652173918,1665.0355,112.31723133821993
US-Wkg,1763.0281130434785,1760.7205,81.85984337400822
US-xAB,823.0343765217392,820.241175,44.88370205725144
US-xAE,1621.0265347826085,1603.8202999999999,117.83743665307958
US-xBA,,,
US-xBL,1045.098566304348,1048.82735,55.86469425348612
US-xBN,469.8970178260869,468.3766,25.433519424916398
US-xBR,724.0955391304349,724.0411349999999,29.41156826773724
US-xCL,1418.620615217391,1405.9827500000001,89.77356934415228
US-xCP,1280.7715978260871,1271.7374,67.3708708766943
US-xDC,898.346494347826,883.318055,76.01475299676068
US-xDJ,524.6788349999999,523.62326,25.489576476699458
US-xDL,1229.5738934782607,1233.18195,58.27631917079336
US-xDS,1385.993045652174,1383.15605,61.381895719259866
US-xGR,993.2089323913044,989.6347,46.81476497847273
US-xHA,877.4031884782611,871.536335,44.63328544328927
US-xHE,435.5918678260869,436.47704999999996,21.995417060178685
US-xJE,1331.8407173913042,1322.2002,69.60062945063166
US-xJR,1778.9560869565219,1794.8808,95.05436302144771
US-xKA,1288.8537369565217,1275.3566,101.02876757733986
US-xKZ,1278.491258695652,1269.0186,100.51117243261749
US-xMB,1401.1577608695654,1403.2603,78.09511545175177
US-xML,928.6594615217389,925.8760500000001,46.418749671215735
US-xNG,985.9741302173912,975.6112350000001,84.09148320194618
US-xNQ,1172.9314217391302,1177.6133,55.288133291704604
US-xRM,840.2048686956521,845.1193000000001,35.12302928226535
US-xSB,1355.930893478261,1345.0347,57.35100824640953
US-xSC,1022.6598434782608,1028.7496999999998,52.32636168698457
US-xSE,1071.3072997826089,1081.7743,51.61790806866831
US-xSJ,1310.3931260869565,1292.4200500000002,73.82928818224569
US-xSL,1354.3058108695652,1342.13635,99.04853827667013
US-xSR,2026.0060413043475,2038.8422,92.66566800536116
US-xST,819.5581719565217,814.48803,49.511442686213265
US-xTA,1219.1168304347827,1220.15465,58.86352193998841
US-xTR,825.2692882608695,820.2855500000001,49.83937804391327
US-xUK,1161.1938478260868,1152.62975,68.99105277666963
US-xUN,799.4436628260868,791.5904499999999,47.261265312639964
US-xWD,893.6316345652173,879.1862349999999,75.64318507713769
US-xYE,788.3502467391304,785.0418999999999,30.803573330306843
AU-Adr,1816.094858695652,1822.52475,47.24882547794801
AU-ASM,2190.7331695652174,2200.2908500000003,129.01644389905215
AU-Boy,1602.0795804347824,1592.69615,59.8665046789925
AU-Cpr,1748.61392173913,1754.6919,83.219559084559
AU-Cum,1186.3681326086955,1186.5344,65.28965756884743
AU-DaS,1899.3459891304349,1903.1581999999999,56.69537693321009
AU-Dry,2037.9652695652176,2051.28625,89.62563120956926
AU-GWW,2108.439652173913,2116.7808999999997,108.87998002790195
AU-Lit,1792.838539130435,1793.78285,44.16599281802172
AU-Lon,1792.838539130435,1793.78285,44.16599281802172
AU-Rgf,1582.735884782609,1574.6473500000002,60.08373770279818
AU-Stp,2257.8479434782603,2269.3152,125.37691926832579
AU-War,664.1081510869565,664.1287,23.42334857455814
AU-Whr,1367.8331260869563,1360.4203,94.96562671215874
AU-Wom,1077.5626476086954,1069.423,65.90710582056042
BE-Bra,719.8857810869566,718.84125,51.23931668710023
BE-Lon,716.9127789130434,709.483275,53.86786985176303
BE-Vie,621.5642523913042,617.918175,52.31793469509732
CH-Aws,586.9222682608696,584.166515,25.12533196574567
CH-Cha,694.8667969565219,687.61712,38.29420873083888
CH-Dav,592.6177836956522,588.8213499999999,25.3053073253577
CH-Fru,675.3853586956521,669.450425,36.2924137188192
