,mean,median,std
FI-Hyy,737.6545665217391,742.38,86.27405219162753
FI-Let,729.1710876086956,718.185015,84.03842494036634
FI-Sii,737.6545665217391,742.38,86.27405219162753
FI-Var,655.4286956521739,662.54,79.59540744372192
FR-Bil,880.6056550000001,877.719985,127.70310387505936
FR-EM2,799.0397832608696,810.09,107.42488052156331
FR-Hes,1131.9299993478262,1163.22,150.5311698354287
IT-BCi,1179.533254347826,1146.01495,227.10758090986425
IT-Cp2,914.6356454347826,895.58,182.97109359702833
IT-Lsn,1271.196303695652,1243.6399999999999,268.73434383995647
IT-SR2,1407.8389152173913,1440.4099999999999,258.156113143531
IT-Tor,1432.8799934782612,1459.41,215.91502045398573
NL-Loo,879.5884795652173,889.135,116.80340750376367
RU-Fy2,835.1460845652173,836.065,93.92355418795513
RU-Fyo,835.1460845652173,836.065,93.92355418795513
SE-Deg,699.6391297826087,695.635,92.95817510156176
SE-Htm,777.2410876086958,782.69,96.91631775214802
SE-Lnn,884.1221756521741,868.2750000000001,112.39529106346801
SE-Nor,655.9254341304348,655.9,79.30810587985098
SE-Ros,727.8767378260869,725.65002,98.24219838350596
SE-Svb,690.0591317391304,683.935015,91.77788238867493
BE-Bra.1,847.03,825.49,109.20192567382293
BE-Dor,911.0102167391306,906.48,109.94729149818865
BE-Lcr,820.3910867391303,809.435015,101.76277439582253
BE-Lon.1,886.3013078260868,867.51498,110.86794192280773
BE-Maa,900.5845671739131,903.505,110.16872642789383
BE-Vie.1,1175.1741332608697,1189.1399999999999,129.63271410905114
CH-Aws.1,1449.434791304348,1431.45,174.29362512585453
CH-Cha.1,1434.4439130434782,1444.345,172.48364565924325
CH-Dav.1,1708.947167391305,1688.27,180.95777652424653
CH-Fru.1,1434.4439130434782,1444.345,172.48364565924325
CH-Lae.1,1159.8419571739134,1158.93,143.16249982130316
CH-Oe2.1,1407.4226086956521,1413.2150000000001,167.2387068692849
CZ-BK1.1,1075.930652173913,1058.93995,113.12916760730317
CZ-KrP,823.1304354347827,807.55498,100.01318412785933
CZ-Lnz.1,670.0043465217391,680.735015,99.25794844932068
CZ-RAJ.1,764.3634747826087,758.83,99.09777159644979
CZ-Stn.1,907.1678271739131,920.455,106.634481792464
CZ-wet.1,730.9821739130437,727.64,93.29703253380318
DE-Akm.1,686.9134797826086,695.7,86.18218527968598
DE-Geb.1,659.273042826087,654.8399999999999,105.98286041197623
DE-Gri.1,937.4152171739131,949.3199999999999,132.51846521389928
DE-Hai.1,745.4371741304349,742.02,113.04253325832397
DE-HoH.1,658.9660876086957,650.7700199999999,100.59351719431027
DE-Hzd.1,937.4152171739131,949.3199999999999,132.51846521389928
DE-Kli.1,937.4152171739131,949.3199999999999,132.51846521389928
DE-Obe.1,871.2732600000002,872.645,128.71936165644598
DE-RuR.1,1063.6052180434779,1063.45,121.05434642168082
DE-RuS.1,827.0413036956523,813.635,103.86473001921739
DE-RuW.1,1063.6052180434779,1063.45,121.05434642168082
DE-Tha.1,937.4152171739131,949.3199999999999,132.51846521389928
DK-Gds,850.9347830434784,861.665,112.83785964692271
DK-Sor.1,709.7593480434781,709.0799999999999,97.88263355350634
ES-Abr.1,438.09739,423.935,110.22805335818265
