field_1,Site,Period,Dataset,x,y,KG1
119,US-xSB,2017-2021,AMF,-81.993399999999994,29.689299999999999,14
120,US-xSC,2019-2021,AMF,-78.139499999999998,38.892899999999997,14
121,US-xSE,2017-2021,AMF,-76.560000000000002,38.890099999999997,14
122,US-xSJ,2019-2021,AMF,-119.732299999999995,37.108800000000002,8
123,US-xSL,2019-2021,AMF,-103.029300000000006,40.461900000000000,7
124,US-xSR,2017-2021,AMF,-110.835499999999996,31.910699999999999,6
125,US-xST,2017-2021,AMF,-89.586399999999998,45.508899999999997,26
126,US-xTA,2017-2021,AMF,-87.393299999999996,32.950499999999998,14
127,US-xTR,2017-2021,AMF,-89.585700000000003,45.493699999999997,26
128,US-xUK,2017-2021,AMF,-95.192099999999996,39.040399999999998,25
129,US-xUN,2017-2021,AMF,-89.537300000000002,46.233899999999998,26
130,US-xWD,2019-2021,AMF,-99.241399999999999,47.128200000000000,22
131,US-xYE,2018-2021,AMF,-110.539100000000005,44.953499999999998,26
132,AU-Adr,2007-2009,OzFlux,131.117799999999988,-13.076900000000000,3
133,AU-ASM,2010-2022,OzFlux,133.249300000000005,-22.282800000000002,4
134,AU-Boy,2017-2022,OzFlux,116.938599999999994,-32.477100000000000,8
135,AU-Cpr,2011-2022,OzFlux,140.587700000000012,-34.002699999999997,5
136,AU-Cum,2014-2022,OzFlux,150.723600000000005,-33.615200000000002,14
137,AU-DaS,2008-2022,OzFlux,131.388100000000009,-14.159200000000000,3
138,AU-Dry,2010-2022,OzFlux,132.370599999999996,-15.258800000000001,3
139,AU-GWW,2013-2022,OzFlux,120.654100000000000,-30.191299999999998,4
140,AU-Lit,2015-2022,OzFlux,130.794499999999999,-13.179000000000000,3
141,AU-Lon,2018-2022,OzFlux,130.794499999999999,-13.179000000000000,3
142,AU-Rgf,2015-2022,OzFlux,116.966800000000006,-32.506100000000004,8
143,AU-Stp,2009-2022,OzFlux,133.350200000000001,-17.150700000000001,6
144,AU-War,2013-2021,OzFlux,146.654500000000013,-43.094999999999999,15
145,AU-Whr,2011-2021,OzFlux,145.029400000000010,-36.673200000000001,7
146,AU-Wom,2010-2021,OzFlux,144.094400000000007,-37.422199999999997,15
147,BE-Bra,1996-2018,ICOS-Drought,4.520098000000000,51.307009999999998,15
148,BE-Lon,2004-2018,ICOS-Drought,4.746202000000000,50.551338000000001,15
149,BE-Vie,1996-2018,ICOS-Drought,5.998710000000000,50.306918000000003,15
150,CH-Aws,2010-2018,ICOS-Drought,9.790417000000000,46.583306000000000,27
151,CH-Cha,2005-2018,ICOS-Drought,8.410439999999999,47.210220000000000,15
152,CH-Dav,1997-2018,ICOS-Drought,9.855910000000000,46.815330000000003,27
153,CH-Fru,2005-2018,ICOS-Drought,8.537780000000000,47.115830000000003,26
154,CH-Lae,2004-2018,ICOS-Drought,8.365000000000000,47.478079999999999,15
155,CH-Oe2,2004-2018,ICOS-Drought,7.734330000000000,47.286310000000000,15
156,CZ-BK1,2004-2018,ICOS-Drought,18.536881999999999,49.502074999999998,26
157,CZ-Lnz,2015-2018,ICOS-Drought,16.946331000000001,48.681550000000001,26
158,CZ-RAJ,2012-2018,ICOS-Drought,16.696512500000001,49.443723599999998,26
159,CZ-Stn,2010-2018,ICOS-Drought,17.969899999999999,49.035975000000001,26
160,CZ-wet,2006-2018,ICOS-Drought,14.770350000000001,49.024650000000001,26
161,DE-Akm,2009-2018,ICOS-Drought,13.683420000000000,53.866169999999997,15
162,DE-Geb,2001-2018,ICOS-Drought,10.914529999999999,51.099850000000004,15
163,DE-Gri,2004-2018,ICOS-Drought,13.512589999999999,50.950040000000001,26
164,DE-Hai,2000-2018,ICOS-Drought,10.452089000000001,51.079407000000003,26
165,DE-HoH,2015-2018,ICOS-Drought,11.221911000000000,52.086370000000002,15
166,DE-Hte,2009-2018,ICOS-Drought,12.176111000000001,54.210278000000002,15
167,DE-Hzd,2010-2018,ICOS-Drought,13.489780000000000,50.963810000000002,26
168,DE-Kli,2004-2018,ICOS-Drought,13.522380000000000,50.893059999999998,26
169,DE-Obe,2008-2018,ICOS-Drought,13.721290000000000,50.786659999999998,26
170,DE-RuR,2011-2018,ICOS-Drought,6.304126000000000,50.621913999999997,15
171,DE-RuS,2011-2018,ICOS-Drought,6.447076000000000,50.866033000000002,15
172,DE-RuW,2010-2018,ICOS-Drought,6.330962700000000,50.504930000000002,15
173,DE-Tha,1996-2018,ICOS-Drought,13.565149999999999,50.962560000000003,26
174,DK-Sor,1996-2018,ICOS-Drought,11.645206999999999,55.486286000000000,15
175,ES-Abr,2015-2018,ICOS-Drought,-6.785881000000000,38.701839000000000,8
176,ES-LM1,2014-2018,ICOS-Drought,-5.778683000000000,39.942689999999999,8
177,ES-LM2,2014-2018,ICOS-Drought,-5.775881000000000,39.934592000000002,8
178,FI-Hyy,1996-2018,ICOS-Drought,24.293970999999999,61.847718999999998,27
179,FI-Let,2009-2018,ICOS-Drought,23.959520000000001,60.641829999999999,26
180,FI-Sii,2016-2018,ICOS-Drought,24.192274999999999,61.833143000000000,27
181,FI-Var,2016-2018,ICOS-Drought,29.609999999999999,67.754900000000006,27
182,FR-Bil,2014-2018,ICOS-Drought,-0.956092000000000,44.493651999999997,15
183,FR-EM2,2017-2018,ICOS-Drought,3.020650000000000,49.872109999999999,15
184,FR-Hes,2014-2018,ICOS-Drought,7.064154000000000,48.674320000000002,15
185,IT-BCi,2004-2018,ICOS-Drought,14.957169000000000,40.523614000000002,8
186,IT-Cp2,2012-2018,ICOS-Drought,12.356870000000001,41.704300000000003,8
187,IT-Lsn,2016-2018,ICOS-Drought,12.750297000000000,45.740482000000000,14
188,IT-SR2,2013-2018,ICOS-Drought,10.291491000000001,43.731912999999999,8
189,IT-Tor,2008-2018,ICOS-Drought,7.578055000000000,45.844439999999999,27
190,NL-Loo,1996-2018,ICOS-Drought,5.743550000000000,52.166446999999998,15
191,RU-Fy2,2015-2018,ICOS-Drought,32.901878000000004,56.447603000000001,26
192,RU-Fyo,1998-2018,ICOS-Drought,32.922083299999997,56.461527799999999,26
193,SE-Deg,2001-2018,ICOS-Drought,19.557448000000001,64.182333000000000,27
194,SE-Htm,2015-2018,ICOS-Drought,13.417892999999999,56.097566000000000,26
195,SE-Lnn,2014-2018,ICOS-Drought,13.101770000000000,58.340629999999997,26
196,SE-Nor,2014-2018,ICOS-Drought,17.478520000000000,60.086990000000000,26
197,SE-Ros,2014-2018,ICOS-Drought,19.738000000000000,64.172499999999999,27
198,SE-Svb,2014-2018,ICOS-Drought,19.776502000000001,64.256304999999998,27
199,BE-Bra,1996-2020,ICOS-WW,4.520098000000000,51.307009999999998,15
200,BE-Dor,2011-2020,ICOS-WW,4.968113000000000,50.311874000000003,15
201,BE-Lcr,2019-2020,ICOS-WW,3.850430000000000,51.112180000000002,15
202,BE-Lon,2004-2020,ICOS-WW,4.746202000000000,50.551338000000001,15
203,BE-Maa,2016-2020,ICOS-WW,5.630835000000000,50.980054000000003,15
204,BE-Vie,1996-2020,ICOS-WW,5.998710000000000,50.306918000000003,15
205,CH-Aws,2006-2020,ICOS-WW,9.790417000000000,46.583306000000000,27
206,CH-Cha,2005-2020,ICOS-WW,8.410439999999999,47.210220000000000,15
207,CH-Dav,1997-2020,ICOS-WW,9.855910000000000,46.815330000000003,27
208,CH-Fru,2005-2020,ICOS-WW,8.537780000000000,47.115830000000003,26
209,CH-Lae,2004-2020,ICOS-WW,8.365000000000000,47.478079999999999,15
210,CH-Oe2,2004-2020,ICOS-WW,7.734330000000000,47.286310000000000,15
211,CZ-BK1,2004-2020,ICOS-WW,18.536881999999999,49.502074999999998,26
212,CZ-KrP,2014-2020,ICOS-WW,15.078773000000000,49.573256999999998,26
213,CZ-Lnz,2015-2020,ICOS-WW,16.946331000000001,48.681550000000001,26
214,CZ-RAJ,2012-2020,ICOS-WW,16.696512500000001,49.443723599999998,26
215,CZ-Stn,2010-2020,ICOS-WW,17.969899999999999,49.035975000000001,26
216,CZ-wet,2006-2020,ICOS-WW,14.770350000000001,49.024650000000001,26
217,DE-Akm,2009-2020,ICOS-WW,13.683420000000000,53.866169999999997,15
218,DE-Geb,2001-2020,ICOS-WW,10.914529999999999,51.099850000000004,15
219,DE-Gri,2004-2020,ICOS-WW,13.512589999999999,50.950040000000001,26
220,DE-Hai,2000-2020,ICOS-WW,10.452089000000001,51.079407000000003,26
221,DE-HoH,2015-2020,ICOS-WW,11.221911000000000,52.086370000000002,15
222,DE-Hzd,2010-2020,ICOS-WW,13.489780000000000,50.963810000000002,26
223,DE-Kli,2004-2020,ICOS-WW,13.522380000000000,50.893059999999998,26
224,DE-Obe,2008-2020,ICOS-WW,13.721290000000000,50.786659999999998,26
225,DE-RuR,2011-2020,ICOS-WW,6.304126000000000,50.621913999999997,15
226,DE-RuS,2011-2020,ICOS-WW,6.447076000000000,50.866033000000002,15
227,DE-RuW,2012-2020,ICOS-WW,6.330962700000000,50.504930000000002,15
228,DE-Tha,1996-2020,ICOS-WW,13.565149999999999,50.962560000000003,26
229,DK-Gds,2020-2020,ICOS-WW,9.334099999999999,56.073700000000002,15
230,DK-Sor,1996-2020,ICOS-WW,11.645206999999999,55.486286000000000,15
231,ES-Abr,2015-2020,ICOS-WW,-6.785881000000000,38.701839000000000,8
232,ES-Agu,2006-2020,ICOS-WW,-2.033208000000000,36.940046000000002,4
233,ES-Cnd,2014-2020,ICOS-WW,-3.227659000000000,37.914997999999997,8
234,ES-LJu,2004-2020,ICOS-WW,-2.752115000000000,36.926594000000001,9
235,ES-LM1,2014-2020,ICOS-WW,-5.778683000000000,39.942689999999999,8
236,ES-LM2,2014-2020,ICOS-WW,-5.775881000000000,39.934592000000002,8
237,FI-Hyy,1996-2020,ICOS-WW,24.293970999999999,61.847718999999998,27
238,FI-Ken,2018-2020,ICOS-WW,24.243010000000002,67.987210000000005,27
239,FI-Let,2009-2020,ICOS-WW,23.959520000000001,60.641829999999999,26
240,FI-Qvd,2018-2020,ICOS-WW,22.391607000000000,60.295242000000002,26
241,FI-Sii,2016-2020,ICOS-WW,24.192274999999999,61.833143000000000,27
242,FI-Var,2016-2020,ICOS-WW,29.609999999999999,67.754900000000006,27
243,FR-Aur,2005-2020,ICOS-WW,1.106103000000000,43.549650000000000,14
244,FR-Bil,2014-2020,ICOS-WW,-0.956092000000000,44.493651999999997,15
245,FR-FBn,2008-2020,ICOS-WW,5.678650000000000,43.240789999999997,8
246,FR-Fon,2005-2020,ICOS-WW,2.780558000000000,48.476224999999999,15
