;Site;Period;Dataset;x;y
159;CZ-Stn;2010-2018;ICOS-Drought;17.9699;49.035975
160;CZ-wet;2006-2018;ICOS-Drought;14.77035;49.02465
161;DE-Akm;2009-2018;ICOS-Drought;13.68342;53.86617
162;DE-Geb;2001-2018;ICOS-Drought;10.91453;51.09985
163;DE-Gri;2004-2018;ICOS-Drought;13.51259;50.95004
164;DE-Hai;2000-2018;ICOS-Drought;10.452089;51.079407
165;DE-HoH;2015-2018;ICOS-Drought;11.221911;52.08637
166;DE-Hte;2009-2018;ICOS-Drought;12.176111;54.210278
167;DE-Hzd;2010-2018;ICOS-Drought;13.48978;50.96381
168;DE-Kli;2004-2018;ICOS-Drought;13.52238;50.89306
169;DE-Obe;2008-2018;ICOS-Drought;13.72129;50.78666
170;DE-RuR;2011-2018;ICOS-Drought;6.304126;50.621914
171;DE-RuS;2011-2018;ICOS-Drought;6.447076;50.866033
172;DE-RuW;2010-2018;ICOS-Drought;6.3309627;50.50493
173;DE-Tha;1996-2018;ICOS-Drought;13.56515;50.96256
174;DK-Sor;1996-2018;ICOS-Drought;11.645207;55.486286
175;ES-Abr;2015-2018;ICOS-Drought;-6.785881;38.701839
176;ES-LM1;2014-2018;ICOS-Drought;-5.778683;39.94269
177;ES-LM2;2014-2018;ICOS-Drought;-5.775881;39.934592
178;FI-Hyy;1996-2018;ICOS-Drought;24.293971;61.847719
179;FI-Let;2009-2018;ICOS-Drought;23.95952;60.64183
180;FI-Sii;2016-2018;ICOS-Drought;24.192275;61.833143
181;FI-Var;2016-2018;ICOS-Drought;29.61;67.7549
182;FR-Bil;2014-2018;ICOS-Drought;-0.956092;44.493652
183;FR-EM2;2017-2018;ICOS-Drought;3.02065;49.87211
184;FR-Hes;2014-2018;ICOS-Drought;7.064154;48.67432
185;IT-BCi;2004-2018;ICOS-Drought;14.957169;40.523614
186;IT-Cp2;2012-2018;ICOS-Drought;12.35687;41.7043
187;IT-Lsn;2016-2018;ICOS-Drought;12.750297;45.740482
188;IT-SR2;2013-2018;ICOS-Drought;10.291491;43.731913
189;IT-Tor;2008-2018;ICOS-Drought;7.578055;45.84444
190;NL-Loo;1996-2018;ICOS-Drought;5.74355;52.166447
191;RU-Fy2;2015-2018;ICOS-Drought;32.901878;56.447603
192;RU-Fyo;1998-2018;ICOS-Drought;32.9220833;56.4615278
193;SE-Deg;2001-2018;ICOS-Drought;19.557448;64.182333
194;SE-Htm;2015-2018;ICOS-Drought;13.417893;56.097566
195;SE-Lnn;2014-2018;ICOS-Drought;13.10177;58.34063
196;SE-Nor;2014-2018;ICOS-Drought;17.47852;60.08699
197;SE-Ros;2014-2018;ICOS-Drought;19.738;64.1725
198;SE-Svb;2014-2018;ICOS-Drought;19.776502;64.256305
199;BE-Bra;1996-2020;ICOS-WW;4.520098;51.30701
200;BE-Dor;2011-2020;ICOS-WW;4.968113;50.311874
201;BE-Lcr;2019-2020;ICOS-WW;3.85043;51.11218
202;BE-Lon;2004-2020;ICOS-WW;4.746202;50.551338
203;BE-Maa;2016-2020;ICOS-WW;5.630835;50.980054
204;BE-Vie;1996-2020;ICOS-WW;5.99871;50.306918
205;CH-Aws;2006-2020;ICOS-WW;9.790417;46.583306
206;CH-Cha;2005-2020;ICOS-WW;8.41044;47.21022
207;CH-Dav;1997-2020;ICOS-WW;9.85591;46.81533
208;CH-Fru;2005-2020;ICOS-WW;8.53778;47.11583
209;CH-Lae;2004-2020;ICOS-WW;8.365;47.47808
210;CH-Oe2;2004-2020;ICOS-WW;7.73433;47.28631
211;CZ-BK1;2004-2020;ICOS-WW;18.536882;49.502075
212;CZ-KrP;2014-2020;ICOS-WW;15.078773;49.573257
213;CZ-Lnz;2015-2020;ICOS-WW;16.946331;48.68155
214;CZ-RAJ;2012-2020;ICOS-WW;16.6965125;49.4437236
215;CZ-Stn;2010-2020;ICOS-WW;17.9699;49.035975
216;CZ-wet;2006-2020;ICOS-WW;14.77035;49.02465
217;DE-Akm;2009-2020;ICOS-WW;13.68342;53.86617
218;DE-Geb;2001-2020;ICOS-WW;10.91453;51.09985
219;DE-Gri;2004-2020;ICOS-WW;13.51259;50.95004
220;DE-Hai;2000-2020;ICOS-WW;10.452089;51.079407
221;DE-HoH;2015-2020;ICOS-WW;11.221911;52.08637
222;DE-Hzd;2010-2020;ICOS-WW;13.48978;50.96381
223;DE-Kli;2004-2020;ICOS-WW;13.52238;50.89306
224;DE-Obe;2008-2020;ICOS-WW;13.72129;50.78666
225;DE-RuR;2011-2020;ICOS-WW;6.304126;50.621914
226;DE-RuS;2011-2020;ICOS-WW;6.447076;50.866033
227;DE-RuW;2012-2020;ICOS-WW;6.3309627;50.50493
228;DE-Tha;1996-2020;ICOS-WW;13.56515;50.96256
229;DK-Gds;2020-2020;ICOS-WW;9.3341;56.0737
230;DK-Sor;1996-2020;ICOS-WW;11.645207;55.486286
231;ES-Abr;2015-2020;ICOS-WW;-6.785881;38.701839
232;ES-Agu;2006-2020;ICOS-WW;-2.033208;36.940046
233;ES-Cnd;2014-2020;ICOS-WW;-3.227659;37.914998
234;ES-LJu;2004-2020;ICOS-WW;-2.752115;36.926594
235;ES-LM1;2014-2020;ICOS-WW;-5.778683;39.94269
236;ES-LM2;2014-2020;ICOS-WW;-5.775881;39.934592
237;FI-Hyy;1996-2020;ICOS-WW;24.293971;61.847719
238;FI-Ken;2018-2020;ICOS-WW;24.24301;67.98721
239;FI-Let;2009-2020;ICOS-WW;23.95952;60.64183
240;FI-Qvd;2018-2020;ICOS-WW;22.391607;60.295242
241;FI-Sii;2016-2020;ICOS-WW;24.192275;61.833143
242;FI-Var;2016-2020;ICOS-WW;29.61;67.7549
243;FR-Aur;2005-2020;ICOS-WW;1.106103;43.54965
244;FR-Bil;2014-2020;ICOS-WW;-0.956092;44.493652
245;FR-FBn;2008-2020;ICOS-WW;5.67865;43.24079
246;FR-Fon;2005-2020;ICOS-WW;2.780558;48.476225
247;FR-Gri;2004-2020;ICOS-WW;1.95193;48.84415
248;FR-Hes;2014-2020;ICOS-WW;7.064154;48.67432
249;FR-Lam;2005-2020;ICOS-WW;2.284102;47.322918
250;FR-LGt;2017-2020;ICOS-WW;1.238177;43.496478
251;FR-Tou;2018-2020;ICOS-WW;1.37474;43.572857
252;GF-Guy;2004-2020;ICOS-WW;-52.9248;5.2787
253;GL-Dsk;2020-2020;ICOS-WW;-53.51413;69.25349
254;IE-Cra;2020-2020;ICOS-WW;-7.641769;53.3229785
255;IL-Yat;2000-2020;ICOS-WW;35.05198851;31.34504459
256;IT-BCi;2004-2020;ICOS-WW;14.957169;40.523614
257;IT-BFt;2019-2020;ICOS-WW;10.741966;45.197754
258;IT-Cp2;2012-2020;ICOS-WW;12.35687;41.7043
259;IT-Lav;2003-2020;ICOS-WW;11.28132;45.9562
260;IT-Lsn;2016-2020;ICOS-WW;12.750297;45.740482
261;IT-MBo;2003-2020;ICOS-WW;11.045831;46.01468
262;IT-Ren;1999-2020;ICOS-WW;11.43369;46.58686
263;IT-SR2;2013-2020;ICOS-WW;10.291491;43.731913
264;IT-Tor;2008-2020;ICOS-WW;7.578055;45.84444
265;RU-Fy2;2015-2020;ICOS-WW;32.901878;56.447603
266;RU-Fyo;1998-2020;ICOS-WW;32.9220833;56.4615278
267;SE-Deg;2001-2020;ICOS-WW;19.557448;64.182333
268;SE-Htm;2015-2020;ICOS-WW;13.417893;56.097566
269;SE-Nor;2014-2020;ICOS-WW;17.47852;60.08699
270;SE-Ros;2014-2020;ICOS-WW;19.738;64.1725
271;SE-Svb;2014-2020;ICOS-WW;19.776502;64.256305
