system:index,Site,rhoX,sigmaX,.geo
00000000000000000018_0,US-CS4,0.8933126409823144,0.7590338399872611,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f_0,US-RGA,0.9830587913226007,0.34042896583341037,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040_0,US-RGB,0.9834029561539588,0.5656270162043004,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041_0,US-RGo,0.9682422162675195,0.5050749794977207,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000091_0,BE-Bra,0.971755340956431,0.2884434989069637,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000093_0,BE-Vie,0.9700956711185775,0.31745430884823606,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ab_0,DE-Tha,0.9764913646044929,0.3444995960964511,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac_0,DK-Sor,0.9678819923742259,0.31346593017100166,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b0_0,FI-Hyy,0.9434404787522886,0.45776399610048457,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bc_0,NL-Loo,0.9790905544159527,0.21906551588507603,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000096_0,CH-Dav,0.9280955287379347,0.34062611402673654,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000be_0,RU-Fyo,0.9673092658199758,0.38861677898206803,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2_0,DE-Hai,0.9786551413645171,0.32402169577849466,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0_0,DE-Geb,0.9743635908324894,0.28732165486414807,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bf_0,SE-Deg,0.9406076771464895,0.36858757798164077,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000092_0,BE-Lon,0.9728710273985407,0.2444175855515136,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000098_0,CH-Lae,0.9718767059023302,0.3775638870411532,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000099_0,CH-Oe2,0.9832296980456344,0.23962918944679412,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009a_0,CZ-BK1,0.9700918094915759,0.3252750272762793,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a1_0,DE-Gri,0.9844007416556373,0.23568541538314616,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a6_0,DE-Kli,0.9868158458017073,0.2076002857745271,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b7_0,IT-BCi,0.9282875097620659,0.2598504133720686,"{""type"":""MultiPoint"",""coordinates"":[]}"
