system:index,Site,rhoX,sigmaX,.geo
00000000000000000070_0,US-xKZ,0.9691629149709899,0.4615666717819112,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071_0,US-xMB,0.08054591133870308,0.0696496482762202,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072_0,US-xML,0.9527119565422556,0.5117725313670808,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_0,US-xNG,0.8327553084687408,0.4637679150682739,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075_0,US-xRM,0.8804532042586068,0.5357627436866386,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076_0,US-xSB,0.9298115055684407,0.31169314224987765,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000078_0,US-xSE,0.9748327293392636,0.45303286368308676,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b_0,US-xSR,0.6877200001800685,0.3841208506863445,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c_0,US-xST,0.9723485634381696,0.4194023811051762,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d_0,US-xTA,0.9612154700372952,0.44950731465851,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_0,US-xTR,0.969991819008092,0.43722343849941775,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f_0,US-xUK,0.9844979593554866,0.3748267284270494,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000080_0,US-xUN,0.9690125478640828,0.42711010568310576,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0,PE-QFR,0.6742597257076305,0.2762771059963106,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015_0,US-CS1,0.8658233752524775,0.9077657392488188,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b_0,US-EDN,0.16914018027977126,0.590706422901375,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055_0,US-Tw5,0.9014097608004291,0.7096834495980466,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d_0,US-Snf,0.9376226045329381,0.43546087276332424,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_0,US-BZo,0.9654802643046273,0.38747465173829315,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016_0,US-CS2,0.9838906452433268,0.31395078003994964,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_0,US-DFC,0.965184871550631,0.4880010592089118,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033_0,US-Mo2,0.9740918293862182,0.44275523363902075,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000082_0,US-xYE,0.7566815805130297,0.44660776012002845,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f_0,US-HB1,0.9668857801525459,0.2914320295351112,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_0,US-HB2,0.9708344253487378,0.30319807430173196,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_0,CA-DB2,0.9848120598686628,0.19013702928384146,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017_0,US-CS3,0.9002665372439038,0.7512761316435916,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021_0,US-HB3,0.9581530251503811,0.3605246823345184,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e_0,US-xAB,0.9484989784158266,0.5289347398793617,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060_0,US-xBA,0.6356328310333073,0.11097995327511463,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061_0,US-xBL,0.9742761536139255,0.4199700136305292,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062_0,US-xBN,0.964821793541213,0.33268314582957886,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067_0,US-xDJ,0.9570731990694319,0.27365887554324864,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e_0,US-xJR,0.9515836122213439,0.13181827010622296,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077_0,US-xSC,0.9793934727154212,0.4254973406015426,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000079_0,US-xSJ,0.45317318586937116,0.8795458223818505,"{""type"":""MultiPoint"",""coordinates"":[]}"
