,Site,N,EC average,EC std,v3L1 average,v3L1 std,r2,r,nse,bias,rmse,urmse,pbias,rrmse
13,US-BZB,144,0.7341733175397278,0.8331802382073235,0.9944444444444444,1.3777085352427796,0.9181372033607693,0.9181372033607693,0.7572808337153024,0.26027112690471665,0.6763884103210991,0.6243077943742592,35.45091066192729,92.1292553354744
14,US-BZF,144,0.7921109076197725,0.9152298734434074,0.9878472222222222,1.3779671929648163,0.828961650526555,0.828961650526555,0.7479869163758799,0.19573631460244983,0.6893458966281466,0.6609728136193758,24.710720774016504,87.02643657560199
15,US-BZo,144,0.8074072859081348,0.9309498219331075,1.038888888888889,1.4308836875959303,0.9310757683703901,0.9310757683703901,0.8059301914195576,0.23148160298075415,0.6281597341000185,0.5839528397277185,28.669744132961867,77.79961180230038
16,US-BZS,144,0.7808008606920915,0.7926375281936957,1.0392361111111112,1.4391250400589342,0.8581205537055617,0.8581205537055617,0.6845935096285529,0.2584352504190196,0.8054166723817965,0.7628284456491019,33.09874046372669,103.15263634160006
17,US-CF1,108,1.2104201702937953,1.279736615329902,0.9935185185185185,1.8264520864104055,0.8150164300080653,0.8150164300080653,0.7599314090997314,-0.21690165177527662,0.890750277990954,0.8639384996619368,-17.919533819618177,73.59017140095654
18,US-CF2,108,1.1815747177677705,1.0968317961045717,0.9349537037037037,1.6402428153062354,0.7938655867179817,0.7938655867179817,0.721634199034946,-0.24662101406406708,0.8613825992986237,0.8253230021006713,-20.87223180688761,72.90123818203784
19,US-CF3,144,1.019344069112851,0.9928600056952904,0.9578125000000001,1.7553899730842986,0.5120338418734696,0.5120338418734696,0.4883088741797401,-0.06153156911285091,1.2513083094598516,1.2497945236420993,-6.036388593147225,122.75622602571104
20,US-CF4,144,1.323813624495733,1.3497623024654648,1.002951388888889,1.7312772088386692,0.7384672817516318,0.7384672817516318,0.6975256229104896,-0.32086223560684396,0.9488502580713392,0.8929525396141864,-24.23771969631048,71.67551689406241
21,US-CS1,29,1.033304017395381,1.001268667323599,0.8646551724137933,1.6647811584165397,0.8481241267282582,0.8481241267282582,0.7354181136536048,-0.16864884498158783,0.8414285097526621,0.8243539919906752,-16.321319006065227,81.43087567525637
22,US-CS2,108,1.8211642179104681,1.4941135259089569,1.6949074074074075,1.8209828379255484,0.8770219247766736,0.8770219247766736,0.8587146440366487,-0.1262568105030605,0.6812938034366706,0.6694926918217994,-6.932752645882895,37.40979515940414
