,Site,N,EC average,EC std,MODIS average,MODIS std,r2,r,nse,bias,rmse,urmse,pbias,rrmse
17,US-CF1,108,1.2104201702937953,1.279736615329902,1.2456572013538159,1.0691081824311193,0.8853489085037962,0.8853489085037962,0.8186737356984524,0.035237031060020844,0.4531396049194107,0.45176747690443003,2.9111404390648947,37.436554350331406
18,US-CF2,108,1.1815747177677705,1.0968317961045717,1.2357045827195567,1.0536496440073972,0.8095688864767606,0.8095688864767606,0.7869610444622737,0.05412986495178594,0.4840673022924167,0.4810312992612428,4.581163098517208,40.96798069671938
19,US-CF3,144,1.019344069112851,0.9928600056952904,1.2033146323258628,1.0189508939859189,0.6797735162818271,0.6797735162818271,0.6244744377676117,0.18397056321301186,0.6222426564385054,0.594424726405905,18.047935803768784,61.04343717622762
20,US-CF4,144,1.323813624495733,1.3497623024654648,1.0877216007733586,0.7596509308308048,0.7805467162567034,0.7805467162567034,-0.114764134357346,-0.23609202372237428,0.7992678438978464,0.7636030661435208,-17.834234317712696,60.37616089668993
21,US-CS1,29,1.033304017395381,1.001268667323599,1.3299591007053293,1.1642862769662234,0.8935202258998459,0.8935202258998459,0.8190086253028144,0.2966550833099482,0.48670828004885863,0.38585063355459964,28.709370941740648,47.10213759506035
22,US-CS2,108,1.8211642179104681,1.4941135259089569,1.7264530175890853,1.4192271803088927,0.7912896865019551,0.7912896865019551,0.7601535204167242,-0.09471120032138257,0.6918287490595416,0.6853151147895202,-5.200585394218346,37.98826828770657
23,US-CS3,36,1.3135999031500307,1.2155083926655736,1.4191598274410775,0.9283832543746063,0.8954819707256949,0.8954819707256949,0.7504331791200143,0.10555992429104662,0.45730241352838635,0.44495235677829126,8.035926619506629,34.8129146806245
24,US-CS4,42,0.9265582138164857,1.3514142792431276,1.449639026338245,1.282765425537691,0.8139159285247324,0.8139159285247324,0.6206742883904374,0.5230808125217595,0.7805858414397677,0.5793968583171695,56.45417683657392,84.24574190806004
25,US-DFC,116,1.685069605712443,1.4560015873007102,1.7481355733436823,1.4527588912923484,0.8636270633157248,0.8636270633157248,0.8564092978552353,0.063065967631239,0.5481212346007419,0.544481011190452,3.7426327919893185,32.528106420209134
26,US-DS3,17,3.5258668275315945,2.4596262473126407,2.1276532291238177,1.76399824575823,0.7714214388711659,0.7714214388711659,-0.1624208849318831,-1.3982135984077768,1.8450807662935256,1.2038778041702902,-39.655882278079254,52.3298484187288
27,US-EDN,62,2.8368276103733323,1.485378750876671,,,,,,,,,,
