,Site,N,EC average,EC std,v3L1 average,v3L1 std,r2,r,nse,bias,rmse,urmse,pbias,rrmse
76,US-Sne,108,3.6238674947186147,2.1776851379907947,2.3743055555555554,1.3852125344423953,0.8703534869787264,0.8703534869787264,-0.35952078510953567,-1.2495619391630588,1.6076420220797443,1.011487929414733,-34.481446713605195,44.36260499101317
77,US-Snf,74,2.50401726767367,1.384130625159746,2.102702702702703,1.1202950899141466,0.7204504100627944,0.7204504100627944,0.440823332545502,-0.40131456497096724,0.8320559363872949,0.7288783857540992,-16.026828974059118,33.22884179470166
78,US-SRG,144,1.407280792363018,1.0965783745069064,1.5723958333333334,0.9698952738416041,0.5261682176937246,0.5261682176937246,0.3327638412749143,0.16511504097031543,0.7894986695879582,0.7720396184954028,11.73291370608879,56.101005135036445
79,US-SRS,36,1.240555751456772,0.9133964600636365,1.3340277777777778,0.7530687878317287,0.5210420750370255,0.5210420750370255,0.2640492843503962,0.09347202632100599,0.6370034517914869,0.6301082271242888,7.534689691393775,51.3482325194543
80,US-Syv,144,1.8934142838825112,1.595008160515777,1.3465277777777778,1.671131403287954,,,0.5851135975111504,-0.4984502551055325,1.0917817230426976,0.9725640052799448,-26.32547242030112,57.662062251054834
81,US-Ton,144,1.1703313932633,1.0056734766657929,1.6927083333333333,1.0881147285959383,0.2893592443027418,0.2893592443027418,-0.0919628489270421,0.5223769400700334,1.133092573343106,1.005495456105283,44.6349592155655,96.81809612776782
82,US-Tw1,108,,,2.4444444444444446,1.625315689440879,,,1.0,,,,,
83,US-Tw3,16,2.634214484571429,1.4394350114572487,2.4453125000000004,1.2580480498905173,0.8540070095552406,0.8540070095552406,0.78153267802102,-0.1889019845714287,0.5693457847026784,0.5370946497440506,-7.171093533872278,21.613493815227713
84,US-Tw4,129,3.628457059425465,2.817427763941906,2.451162790697675,1.6804420121220045,0.8802889562072218,0.8802889562072218,-0.15954496486705905,-1.1772942687277905,1.8025090649971933,1.364923856564077,-32.44614031381716,49.6770124456869
85,US-Tw5,60,,,2.694166666666667,1.7205165677455725,,,1.0,,,,,
86,US-UMB,144,,,1.328125,1.6200094831588103,,,1.0,,,,,
87,US-UMd,144,,,1.324826388888889,1.6009626052330843,,,1.0,,,,,
88,US-Var,144,1.1739718893263031,1.2604646139838147,1.5177083333333334,0.9871635702028638,0.22140837416352502,0.22140837416352502,-0.5508298919022456,0.3437364440070303,1.225061733688623,1.1758492711268635,29.279784902199598,104.35187970230176
89,US-Vcm,144,,,0.9505208333333334,1.0584015720296458,,,1.0,,,,,
90,US-Vcp,144,,,1.9548611111111112,1.610274261533792,,,1.0,,,,,
91,US-Whs,108,0.9055656554452278,0.5711221329206975,0.888425925925926,0.547150924927179,0.21414664386483118,0.21414664386483118,-0.12446424635026809,-0.017139729519301847,0.577510619144864,0.577256221185263,-1.8927097572925264,63.77346751969373
92,US-Wjs,144,,,0.4739583333333333,0.6029637973453225,,,1.0,,,,,
93,US-Wkg,144,0.9520141513587137,0.8654304361469416,1.2152777777777777,0.9132958791428788,0.6474580669837059,0.6474580669837059,0.5433524998771182,0.26326362641906415,0.6150193968213238,0.5558247218963442,27.653331207664774,64.60191751809242
94,US-xAB,51,1.3004628333658406,1.0639749300582717,1.9264705882352942,1.7492384897770938,0.7535487113928476,0.7535487113928476,0.5554059077913324,0.6260077548694533,1.15486383837768,0.9704765716057934,48.13730456634645,88.8040633494059
95,US-xAE,107,1.7240137304286998,1.3522172405984327,1.2121495327102805,0.9664438587657361,0.7998979163351511,0.7998979163351511,0.2619156329412291,-0.5118641977184194,0.8264007029552611,0.6487936227638404,-29.690262245831263,47.93469381185063
96,US-xBA,108,0.35184840548597995,0.6005293513312036,0.07407407407407407,0.1683456448619754,,,-12.079303741823852,-0.27565792929550376,0.6145984174776867,0.5493163022708414,-78.3456525587375,174.677050654469
97,US-xBL,88,2.0597242366963737,1.466278934824044,2.3193181818181823,1.9037082961701357,0.8285351307795786,0.8285351307795786,0.7901220971634373,0.25959394512180817,0.8671656188169885,0.8273978451230981,12.60333497547105,42.101054275491265
98,US-xBN,108,0.8517332769776638,0.8784342569630301,0.8981481481481481,1.3355303809377579,,,0.648045905396128,0.11776672302233632,0.8195749422827701,0.814202168830982,13.826713855800739,96.22436558907195
99,US-xBR,144,1.767047311741744,1.43051057026149,1.4604166666666667,1.6898594616121183,0.9392762811159778,0.9392762811159778,0.8910810533939119,-0.3066306450750773,0.5557622916056346,0.4635184702593721,-17.35271280160787,31.451466404588263
100,US-xCL,123,2.6244114886363508,1.9497247697020086,2.493292682926829,1.8289819381360737,0.9091203454412901,0.9091203454412901,0.8912739453453984,-0.13111880570952167,0.6006252569831957,0.5861386850528112,-4.99612222691691,22.88609311397588
101,US-xCP,144,0.9248457001801484,0.8419431965715096,0.48923611111111115,0.6304389411727422,0.5783440526428418,0.5783440526428418,-0.23304625407866286,-0.4356095890690373,0.6976209073923477,0.5449029421300889,-47.100785459043166,75.43105917629934
102,US-xDC,144,1.4675592331872112,1.5493947821123655,0.8611111111111112,1.3620537306546918,0.7254915865412979,0.7254915865412979,0.44418868503958475,-0.6064481220760998,1.0119165633221558,0.8100591375671868,-41.32358737977681,68.95234893684659
103,US-xDJ,108,0.8774375383594146,0.7778065891166037,0.6856481481481482,0.9318307005473262,0.7734970342226782,0.7734970342226782,0.7287341221216037,-0.19178939021126637,0.4830750526734038,0.44337155560297564,-21.857896639556113,55.05520695827892
104,US-xDL,144,2.8147505829968016,2.033005595304518,2.744444444444445,1.8495426680150093,,,0.8584835750752461,-0.21713153537775412,0.7412257961079698,0.7237591272746259,-7.7140595223388875,26.33362261599759
105,US-xDS,111,2.329817795391747,1.2419786981247147,2.5033783783783785,0.9252916400598352,0.6554340409064349,0.6554340409064349,0.3361953649020656,0.1735605829866319,0.7504705111930909,0.7301251346199222,7.449534608668768,32.211553739416054
106,US-xGR,114,2.625660383463087,1.8732838650977182,2.3182017543859645,1.8758015545918725,,,0.8687652919588746,-0.24679674709945018,0.6887381271535394,0.6458571338470824,-9.399416187021881,26.231043873432544
107,US-xHA,144,1.8736125300053184,1.6889961529747,1.8713541666666669,1.9762244340026132,0.9215652565861925,0.9215652565861925,0.9104708306481095,-0.0022583633386517588,0.5892577659052691,0.5892534382374868,-0.1205352388759563,31.45035360665508
108,US-xHE,123,0.9116383215434016,0.9108312714596983,0.6658536585365854,0.9367347603220033,0.802374634242181,0.802374634242181,0.7270981659722338,-0.24578466300681634,0.4873570166127063,0.420840541146244,-26.960764724183978,53.45947017536648
109,US-xJE,144,2.638316786950897,1.3768622081065969,2.6909722222222223,1.4980862241164006,0.7957943690263802,0.7957943690263802,0.793820900490707,0.05265543527132556,0.6778692012658237,0.6758210259833243,1.9957965446666264,25.693245201583135
110,US-xJR,108,0.748501785293787,0.627530780412611,0.5305555555555556,0.4974741496751521,0.5726335627554536,0.5726335627554536,0.12417264979560749,-0.2179462297382313,0.46340400301859336,0.40895318919962775,-29.11766331361353,61.91087477990547
111,US-xKA,144,1.9778292750316513,1.4448284878491349,1.7788194444444443,1.6864285498902711,0.6257920437950801,0.6257920437950801,0.6074567417869418,-0.19900983058720673,1.0529275276507806,1.0339494503187459,-10.062032810391178,53.23652253220544
112,US-xKZ,144,1.9432506619056278,1.8060313808346653,1.7298611111111113,1.8282488033275686,0.9349942117822048,0.9349942117822048,0.9208391802607528,-0.21338955079451655,0.5125983594793124,0.46607078620376635,-10.981061526322003,26.37839623719147
113,US-xMB,108,0.7443450556315812,0.39610504379973777,0.04027777777777777,0.08686070418471277,0.1129776915168396,0.1129776915168396,-84.04664085099218,-0.7040672778538033,0.7973186804034884,0.37417421928280364,-94.58882980775603,107.11681019053171
