,Site,N,EC average,EC std,v3L1 average,v3L1 std,r2,nse,bias,rmse,pbias
99,US-xBR,144,1.767047311741744,1.43051057026149,1.5027777777777778,1.7458419911218355,0.9380760472084612,0.8927534495152368,-0.26426953396396613,0.5697487405003815,-14.955430576642614
100,US-xCL,123,2.6244114886363508,1.9497247697020086,2.5154471544715444,1.8332553022784355,0.9098588605128249,0.8942703784218031,-0.10896433416480619,0.5936748460385612,-4.15195310021388
101,US-xCP,144,0.9248457001801484,0.8419431965715096,0.4930555555555556,0.6424007395533649,0.5742287837387161,-0.1863504400814311,-0.43179014462459286,0.6972673070084389,-46.68780365638133
102,US-xDC,144,1.4675592331872112,1.5493947821123655,0.8819444444444445,1.398483333206241,0.7297801483427009,0.4888696281922841,-0.5856147887427664,0.9963453804568554,-39.903996751868185
103,US-xDJ,108,0.8774375383594146,0.7778065891166037,0.688888888888889,0.9399078631851419,0.7730224233855023,0.7297336060414841,-0.18854864947052563,0.4863638834829887,-21.48855516519885
104,US-xDL,144,2.8147505829968016,2.033005595304518,2.744444444444445,1.8495426680150093,,0.8584835750752461,-0.21713153537775412,0.7412257961079698,-7.7140595223388875
105,US-xDS,111,2.329817795391747,1.2419786981247147,2.6414414414414416,1.030398728513161,0.6867172661639148,0.452553616965894,0.3116236460496949,0.7589461507924405,13.375451362165297
106,US-xGR,114,2.625660383463087,1.8732838650977182,2.3570175438596497,1.8890916156801003,,0.8760871692724898,-0.20747856528126835,0.6739909092477699,-7.901957411857534
107,US-xHA,144,1.8736125300053184,1.6889961529747,1.882638888888889,1.9722668035058912,0.9207038499608768,0.91004075489724,0.009026358883570463,0.5894885022503392,0.4817623035187986
108,US-xHE,123,0.9116383215434016,0.9108312714596983,0.675609756097561,0.946550377398487,0.8045408327250976,0.7375881271378113,-0.23602856544584072,0.48290625750339616,-25.890592778750776
109,US-xJE,144,2.638316786950897,1.3768622081065969,2.623611111111112,1.4796988028002684,0.7927104693485559,0.7909982817196215,-0.014705675839785548,0.6741166026814569,-0.5573885559353507
110,US-xJR,108,0.748501785293787,0.627530780412611,0.5277777777777778,0.49309879075645985,0.5589482451158214,0.08108289344909936,-0.22072400751600904,0.47049186295392764,-29.48877502401345
111,US-xKA,144,1.9778292750316513,1.4448284878491349,1.6868055555555557,1.637337362991708,0.5946765063290296,0.5504816741672005,-0.2910237194760956,1.0939529550313447,-14.714299315416815
112,US-xKZ,144,1.9432506619056278,1.8060313808346653,1.7256944444444444,1.8383919138910045,0.9358598858642805,0.9215325129870934,-0.21755621746118323,0.5131800277488971,-11.195478881136161
113,US-xMB,108,0.7443450556315812,0.39610504379973777,0.039814814814814824,0.08640246493413463,0.1134183757482121,-85.03900493176053,-0.7045302408167663,0.7977261578578453,-94.65102716628759
114,US-xML,103,1.5585228245264549,1.1413073602173978,1.9223300970873787,1.76845629142298,0.8987507162146197,0.7644147169534274,0.3638072725609239,0.8541809514692528,23.343082747053376
115,US-xNG,144,1.2933092528623527,1.355487704825126,0.5249999999999999,0.8543185236550485,0.7017104516181599,-0.6736535009348266,-0.7683092528623524,1.1013855412002895,-59.406460686949394
116,US-xNQ,144,0.6887171020943489,0.6383844790406258,0.09305555555555554,0.16113790201384504,,-25.33564845371422,-0.5943509049112504,0.8298384612878261,-86.29826428062607
117,US-xRM,144,1.719919269893383,0.9740879751988559,1.1770833333333333,1.2333205363791464,0.5352040684427296,0.3367334717638656,-0.5428359365600495,1.0009370760404368,-31.561710253627172
118,US-xSB,92,2.235072627218327,0.9342668169033758,2.4380434782608695,0.9879318381195064,0.680013576966809,0.6226868044637961,0.20297085104254273,0.6035381968992952,9.081174748900725
119,US-xSC,56,2.1389824370279777,1.6751443988028245,2.7125,2.2559869841661926,,0.7883471054440939,0.6702768222312817,1.0474496612160507,31.336247115829615
120,US-xSE,133,2.491915584644937,1.7978323542222883,2.415037593984963,2.0245274884788027,0.7689638650390375,0.7673873192821441,-0.07687799065997453,0.9727506196932394,-3.0850961057305866
121,US-xSJ,101,1.032928233207779,0.7373056785212783,1.7782178217821785,1.015835022077506,0.4210084033129216,-0.12857173348672912,0.7452895885743994,1.073809097262725,72.15308523999659
122,US-xSL,108,1.1131002883695733,1.0313991778583163,0.43425925925925923,0.7168417279968969,0.2851127027569478,-1.438810956994776,-0.6788410291103141,1.1142749260526466,-60.986510937361665
123,US-xSR,144,0.9073476571168833,0.6131314806849152,0.8097222222222222,0.5422459695845525,0.3617964091965313,0.04907065393176324,-0.09762543489466086,0.526935223529538,-10.759429875519576
124,US-xST,144,1.5484277177202472,1.6765327176350797,1.4805555555555554,1.7836584458459104,0.9556087327613559,0.9527359752615876,-0.06787216216469169,0.38642375624659253,-4.383295480180372
125,US-xTA,144,2.7601300241474336,1.5668871403162903,2.6319444444444446,1.610787618569484,0.8415266915009215,0.8320805446296837,-0.12818557970298905,0.6577722747045156,-4.644186273166019
126,US-xTR,144,1.5015390287064267,1.5737157574958829,1.5166666666666666,1.8235828869164528,0.9547314032253471,0.9416379392751199,0.015127637960240038,0.4390132113070737,1.0074755081972442
127,US-xUK,144,2.1266495928816322,1.9865945775438993,2.2000000000000006,2.1431301857346403,0.9140219775982228,0.9119964058657011,0.07335040711836745,0.6335567622744339,3.4491063955193897
