,Site,N,EC average,EC std,SSEBop average,SSEBop std,r2,nse,bias,rmse,pbias
10,US-Bi1,144,2.4261945389226964,1.4564605618664153,2.5986111111111114,2.083266199384528,0.7485687358835292,0.7140902558144371,0.1724165721884148,1.1100588886314353,7.1064611440834
11,US-Bi2,144,1.9708818362624616,1.3573182486069986,2.2944444444444447,2.2951690760815615,0.7847908099576163,0.6780453146028569,0.3235626081819832,1.297773289565939,16.417149025817825
12,US-BRG,108,1.828768806120635,1.2291068204710305,2.240740740740741,1.854675175582725,0.8679155289179739,0.7458004191034826,0.4119719346201059,0.9307548014259124,22.527283560463907
13,US-BZB,144,0.7341733175397278,0.8331802382073235,1.0388888888888888,1.422157875389727,0.8936533801728366,0.7182007457520956,0.30471557134916105,0.7523232836711737,41.50458264681789
14,US-BZF,144,0.7921109076197725,0.9152298734434074,1.0847222222222221,1.4777283380855375,0.7907986495155024,0.6784583195359257,0.2926113146024498,0.8350260285188947,36.94070006960547
15,US-BZo,144,0.8074072859081348,0.9309498219331075,0.9826388888888888,1.3822718636543627,0.8754095393840474,0.7905086117784415,0.17523160298075413,0.6304684058474126,21.70299996533492
16,US-BZS,144,0.7808008606920915,0.7926375281936957,0.9826388888888888,1.3822718636543627,0.8317899865478203,0.6956732764831175,0.20183802819679741,0.7598892239731113,25.850128804659725
17,US-CF1,108,1.2104201702937953,1.279736615329902,1.3537037037037039,1.7006555045137406,0.772106928518202,0.7490157421244648,0.14328353340990865,0.8480463739515258,11.83750377979331
18,US-CF2,108,1.1815747177677705,1.0968317961045717,1.4064814814814814,1.732389260834796,0.7241023510194413,0.6596493713944322,0.2249067637137107,1.0059786702542293,19.034493573000976
19,US-CF3,144,1.019344069112851,0.9928600056952904,1.40625,1.6976420813480193,0.4753779607803383,0.4121252914652852,0.38690593088714903,1.2971054763962178,37.956362587548924
20,US-CF4,144,1.323813624495733,1.3497623024654648,1.4409722222222223,1.6448866815155367,0.6872756968301605,0.6820958490049207,0.11715859772648941,0.9242104105388848,8.850082485827071
21,US-CS1,29,1.033304017395381,1.001268667323599,1.0689655172413794,1.596223992578347,0.9024463210515663,0.797795069778919,0.03566149984599838,0.7052932399926353,3.4512108000788846
22,US-CS2,108,1.8211642179104681,1.4941135259089569,1.8824074074074075,1.7751571579079197,0.8755533914797231,0.8655102678856472,0.06124318949693955,0.6479796744815941,3.3628592575362353
23,US-CS3,36,1.3135999031500307,1.2155083926655736,1.3472222222222223,1.5851968982903055,0.811405539837422,0.7929885549611326,0.03362231907219136,0.7111531927477059,2.5595555383008612
24,US-CS4,42,0.9265582138164857,1.3514142792431276,1.157142857142857,1.494403030684315,0.8803992502591735,0.8548558764799139,0.2305846433263716,0.5625158335759864,24.886147452796877
25,US-DFC,116,1.685069605712443,1.4560015873007102,1.5353448275862072,1.6180640235812047,0.9169103312849314,0.904942724554441,-0.14972477812623627,0.49671618181501465,-8.88537646270897
26,US-DS3,17,3.5258668275315945,2.4596262473126407,3.552941176470588,2.7629507883463162,0.9457124246034565,0.9388436458680914,0.02707434893899395,0.6628716933329315,0.7678778088719899
27,US-EDN,62,2.8368276103733323,1.485378750876671,2.014516129032258,0.8109591112155153,0.666794400712152,-1.4085959375746997,-0.8223114813410739,1.2483892062302626,-28.98700923292466
28,US-EML,84,0.8245996584268647,0.6890199020155757,0.7464285714285714,1.2051542348497342,0.658811426858013,0.5969800746309781,-0.07817108699829312,0.7605106382601219,-9.479883504611744
29,US-GLE,100,1.5544562571312803,0.6804630805533805,1.6500000000000004,1.7650077975047376,0.3086828255796229,0.27680166739487644,0.0955437428687199,1.493457725410218,6.146441395851439
30,US-Ha1,108,1.373237951685937,1.1350433315644313,1.8824074074074073,1.6939600621859612,0.8166021154249826,0.6708374506335305,0.5091694557214705,0.9673605817385602,37.0780209719924
31,US-HB1,36,2.375495574171428,1.2854538489801444,3.636111111111111,1.5421974633207696,0.8736883099413129,0.17619049057671266,1.2606155369396825,1.380181356441948,53.06747571522564
32,US-HB2,36,2.0677281868497217,0.8485035667985554,3.041666666666667,1.5204087796191057,0.8134119365919735,0.27313890446804534,0.9739384798169451,1.2781118244281684,47.10186213115298
33,US-HB3,108,1.6272180079104517,0.9180937118635142,3.0694444444444446,1.4127231166656016,0.7004960545905745,-0.3864477132648183,1.442226436533993,1.655727304088939,88.63142059163845
34,US-Hn2,36,0.775875842716141,0.6423806687322356,0.7500000000000001,0.8923484265048682,0.36134092050739525,0.3463720788460922,-0.02587584271614097,0.71134868310835,-3.33504941016804
