,Site,N,EC average,EC std,PMLv2 average,PMLv2 std,r2,nse,bias,rmse,pbias
16,US-BZS,144,0.7808008606920915,0.7926375281936957,0.8274321535669192,0.9485535459491761,0.8737330558124201,0.8614767578275193,0.04663129287482766,0.351811432685552,5.972238918063474
17,US-CF1,108,1.2104201702937953,1.279736615329902,1.271600422629069,1.4055414853724506,0.8266974376596038,0.824783454080837,0.061180252335273355,0.5856137119866099,5.054464047837502
18,US-CF2,108,1.1815747177677705,1.0968317961045717,1.2744789474607183,1.4170095092754817,0.8332157182891291,0.8096227276781415,0.09290422969294747,0.6154040157418972,7.862746916967048
19,US-CF3,144,1.019344069112851,0.9928600056952904,1.2126218960437711,1.3172456928939553,0.5918236648282228,0.5699016257273983,0.19327782693092008,0.8608697755798556,18.960999802464382
20,US-CF4,144,1.323813624495733,1.3497623024654648,1.2213264941077442,1.3255762497294863,0.8422030595859407,0.8260774507502211,-0.10248713038798875,0.5508957642219257,-7.741809609115342
21,US-CS1,29,1.033304017395381,1.001268667323599,1.0923166144200627,1.2394771074588034,0.8747412632936523,0.8561472908437354,0.05901259702468171,0.4619314688450277,5.711058510488813
22,US-CS2,108,1.8211642179104681,1.4941135259089569,1.2640779496352412,1.0161490602163459,0.8223300629444316,0.20137969828011715,-0.5570862682752268,0.9038733963852968,-30.58956807939075
23,US-CS3,36,1.3135999031500307,1.2155083926655736,1.408196233164983,1.422013019641,0.9308862719690768,0.9142247773971224,0.09459633001495224,0.4106456923018612,7.201304582019908
24,US-CS4,42,0.9265582138164857,1.3514142792431276,1.3406786390692642,1.522766324618143,0.7500397541859513,0.6738185952690885,0.4141204252527785,0.859270983613288,44.69448536288074
25,US-DFC,116,1.685069605712443,1.4560015873007102,1.5238390396421104,1.4850663219637221,0.9019966949459011,0.8891651085778581,-0.16123056607033254,0.49227074274409105,-9.568184336347617
26,US-DS3,17,3.5258668275315945,2.4596262473126407,2.286239304812834,1.9408637950726646,0.9535060406671981,0.4355044921667526,-1.2396275227187603,1.4146885369837243,-35.15809255866321
27,US-EDN,62,2.8368276103733323,1.485378750876671,0.5594831836510262,0.6270225855568319,0.029657708910543312,-19.83546352578517,-2.2773444267223057,2.838924485703633,-80.27785750515177
28,US-EML,84,0.8245996584268647,0.6890199020155757,0.575426406926407,0.7919329943438917,0.6713398970666971,0.5685792834152472,-0.2491732515004576,0.517056900474841,-30.217481774831132
29,US-GLE,100,1.5544562571312803,0.6804630805533805,1.4050245833333332,1.1285579623441906,0.3658440562288063,0.34813110084153165,-0.14943167379794683,0.9066122797108914,-9.613115397259243
30,US-HB1,36,2.375495574171428,1.2854538489801444,,,,,,,
31,US-HB2,36,2.0677281868497217,0.8485035667985554,2.5390889362373743,1.1324707421115896,0.831053804729022,0.6264976210133444,0.47136074938765204,0.6824273887342941,22.796069250561974
32,US-HB3,108,1.6272180079104517,0.9180937118635142,2.2751090242704826,1.0743655497512192,0.7081364612860452,0.34090423941531267,0.6478910163600311,0.8681731377196416,39.81587059695848
33,US-Hn2,36,0.775875842716141,0.6423806687322356,0.4056492266414141,0.3911135384385906,0.41093962627830805,-1.5134973885512735,-0.37022661607472684,0.6113991636800012,-47.717250066538874
34,US-Hn3,36,0.46443507739369205,0.2982681579654461,0.373971985479798,0.37949769845353093,0.856807400022906,0.7788492681934079,-0.09046309191389404,0.1759689767199314,-19.47809205574073
