,Site,N,EC average,EC std,v3L1 average,v3L1 std,r2,nse,bias,rmse,urmse,r,pbias
13,US-BZB,144,0.7341733175397278,0.8331802382073235,0.9715277777777778,1.3459425269811063,0.9158522013432028,0.7703119314780513,0.23735446023804999,0.6428098249252692,0.5973837386685038,0.9158522013432028,32.329486044718074
14,US-BZF,144,0.7921109076197725,0.9152298734434074,0.9138888888888891,1.2975830739192893,0.8204080143665697,0.7713666598552911,0.1217779812691165,0.618289291899267,0.606178003358185,0.8204080143665697,15.373854860179772
15,US-BZo,144,0.8074072859081348,0.9309498219331075,1.0381944444444444,1.4276978646395022,0.9321131339870001,0.8075823873333271,0.2307871585363097,0.6240875137714819,0.579846973174997,0.9321131339870001,28.583734945707217
16,US-BZS,144,0.7808008606920915,0.7926375281936957,1.0173611111111112,1.4099213815859746,0.8584294872786615,0.6973459555799153,0.23656025041901962,0.7729562449113827,0.7358672464984402,0.8584294872786615,30.297129822492224
17,US-CF1,108,1.2104201702937953,1.279736615329902,0.9601851851851853,1.7437707458218468,0.8086692192438273,0.7605366460950905,-0.2502349851086099,0.849354376721123,0.811655905838811,0.8086692192438273,-20.67339848177451
18,US-CF2,108,1.1815747177677705,1.0968317961045717,0.9333333333333333,1.6657629948885848,0.7913579499318192,0.7155220975445717,-0.24824138443443747,0.8843363762094101,0.8487797366462427,0.7913579499318192,-21.00936832022056
19,US-CF3,144,1.019344069112851,0.9928600056952904,0.9187500000000001,1.702198033970532,0.5302601401217962,0.5057448411178126,-0.1005940691128509,1.1925386484005316,1.1882883745910693,0.5302601401217962,-9.868509776134696
20,US-CF4,144,1.323813624495733,1.3497623024654648,0.9979166666666668,1.7932846275047234,0.732162016884032,0.6882979275729424,-0.32589695782906625,0.9977134874344346,0.94298641341556,0.732162016884032,-24.61803926162241
21,US-CS1,29,1.033304017395381,1.001268667323599,0.8758620689655174,1.690446934227285,0.8425169728474273,0.7275322883768791,-0.1574419484298637,0.8670398948068945,0.8526254817100877,0.8425169728474273,-15.23674986058053
22,US-CS2,108,1.8211642179104681,1.4941135259089569,1.6972222222222226,1.803965431281477,0.8756712335831027,0.8593430038090856,-0.12394199568824565,0.673424467357608,0.6619206107538069,0.8756712335831027,-6.805646326087595
23,US-CS3,36,1.3135999031500307,1.2155083926655736,1.1166666666666667,1.750673339848741,0.8507286914715547,0.7857106929120372,-0.19693323648336422,0.7990760979497538,0.7744287641111942,0.8507286914715547,-14.991873553820732
24,US-CS4,42,0.9265582138164857,1.3514142792431276,1.0261904761904763,1.9199923175417353,0.9083267465341368,0.8434689665921681,0.0996322623739907,0.7505281749054186,0.743885712741614,0.9083267465341368,10.752941465340447
25,US-DFC,116,1.685069605712443,1.4560015873007102,1.4215517241379312,1.9434977895976402,0.8112124599827661,0.7697134738153733,-0.2635178815745121,0.9286204445823575,0.890446099540459,0.8112124599827661,-15.63839740988607
