,Site,N,EC average,EC std,v3L1 average,v3L1 std,r2,nse,bias,rmse,pbias
21,US-CS1,29,1.033304017395381,1.001268667323599,0.8646551724137933,1.6647811584165397,0.8481241267282582,0.7354181136536048,-0.16864884498158783,0.8414285097526621,-16.321319006065227
22,US-CS2,108,1.8211642179104681,1.4941135259089569,1.6949074074074075,1.8209828379255484,0.8770219247766736,0.8587146440366487,-0.1262568105030605,0.6812938034366706,-6.932752645882895
23,US-CS3,36,1.3135999031500307,1.2155083926655736,1.1249999999999998,1.709344068014729,0.8827556420913524,0.818042680094803,-0.18859990315003095,0.7189472496509698,-14.357484550491042
24,US-CS4,42,0.9265582138164857,1.3514142792431276,1.011904761904762,1.8825841581878087,0.9065926433535851,0.8495903483666426,0.08534654808827642,0.7213724226638432,9.211137175799747
25,US-DFC,116,1.685069605712443,1.4560015873007102,1.4025862068965516,1.799092099868179,0.8648933653024352,0.8254573408217155,-0.2824833988158915,0.7483833489573529,-16.76390090108226
26,US-DS3,17,3.5258668275315945,2.4596262473126407,3.0955882352941186,2.5919682930840304,0.9831200975393584,0.9520269527193705,-0.43027859223747666,0.5507618730947829,-12.203483945498537
27,US-EDN,62,2.8368276103733323,1.485378750876671,0.9354838709677421,0.5408241355905162,0.8344648776117947,-15.087847945298979,-1.9013437394055899,2.1516623172911715,-67.02359115700263
28,US-EML,84,0.8245996584268647,0.6890199020155757,0.49880952380952387,0.8462257165093116,0.6690514345331959,0.5190329199113177,-0.3257901346173408,0.5833689345184003,-39.50888546799413
29,US-GLE,100,1.5544562571312803,0.6804630805533805,1.2094999999999998,1.358450822210225,0.6395100400883207,0.48510539136762254,-0.34495625713128014,0.9698860000526558,-22.191441898010716
30,US-Ha1,108,1.373237951685937,1.1350433315644313,1.9092592592592594,2.0551979706372805,0.9385105499627328,0.6963892213598923,0.5360213075733223,1.127177383848658,39.03338870843498
31,US-HB1,36,2.375495574171428,1.2854538489801444,1.976388888888889,1.0903135925772593,0.9213293300627367,0.735497797098582,-0.3991066852825396,0.5529028706897857,-16.800986270906773
32,US-HB2,36,2.0677281868497217,0.8485035667985554,2.6833333333333336,1.4279855941650312,0.9009873337611719,0.5837996328228023,0.6156051464836118,0.9083596357879377,29.77205371570208
33,US-HB3,108,1.6272180079104517,0.9180937118635142,2.4662037037037035,1.3162149908135186,0.7674501519661618,0.3254766072826658,0.8389856957932523,1.075982856427596,51.55951395047632
34,US-Hn2,36,0.775875842716141,0.6423806687322356,1.0041666666666669,0.8922183429119642,0.656000144943035,0.5805685283973074,0.22829082395052577,0.5697501214679864,29.423628289719467
35,US-Hn3,36,0.46443507739369205,0.2982681579654461,1.3805555555555555,1.1630334584167497,0.1830983831511468,-0.48449196277127893,0.9161204781618637,1.3972171441728432,197.25479894906545
36,US-Ho2,108,1.1328600567543747,1.1291900101990908,1.4592592592592593,1.5743289350411678,0.8670816918612194,0.7779339207295759,0.3263992025048845,0.7384423591180928,28.81196142090249
37,US-HWB,24,1.5934243834419295,0.9693365265278875,1.8499999999999999,1.730229941994391,0.7991628777795201,0.6648455711310793,0.25657561655807054,0.9805835464951795,16.102152020784683
38,US-ICh,144,0.2878650524628019,0.4456530613410622,0.19722222222222224,0.4155953593575158,0.6898233913012248,0.5834696304930755,-0.0906428302405797,0.26728882260502196,-31.48795918959027
39,US-ICs,108,0.32267109940874117,0.48296159105239866,0.1736111111111111,0.3657317804108527,0.584397907296209,0.107514907067506,-0.14905998829762995,0.3439087271005842,-46.19564273675757
40,US-ICt,144,0.29980011321020594,0.4290415263594353,0.20347222222222222,0.42679701443507256,0.67773483335727,0.593309792867831,-0.09632789098798368,0.27123142328100375,-32.13070534114276
41,US-Jo1,108,0.6837829498884354,0.4918267919204128,0.3912037037037038,0.26314317765956086,0.17922391613615485,-3.158612118894898,-0.29257924618473163,0.5341292154208906,-42.78832138655523
42,US-Jo2,108,0.7001774761119768,0.44328907256009026,0.5537037037037037,0.36356899766195805,0.2883357864640251,-0.3410271025109082,-0.1464737724082732,0.4190690924448814,-20.919520750885763
43,US-KFS,72,1.0674488503805566,0.9236423465324899,1.645486111111111,1.6200402446144915,0.6629946054495252,0.47430285067543854,0.5780372607305546,1.166424251027419,54.15128420668384
44,US-KLS,72,1.2780896834092763,1.2185390851448228,1.7798611111111111,1.6728498859735041,0.4608192609826895,0.3671234284312721,0.5017714277018348,1.321537242695371,39.25948501230136
45,US-Kon,72,1.8005385012935062,1.4111361067852692,1.657638888888889,1.8079667149618706,0.8221632822532667,0.7998961114593562,-0.14289961240461757,0.8031212570833783,-7.936493015948203
46,US-KS3,25,2.434265959701373,0.9166590495174199,2.2260000000000004,0.6027489112391661,0.5927504318387707,-0.09545571121499652,-0.2082659597013728,0.6181152564233464,-8.555595943465525
47,US-Me2,108,1.1479621864087406,0.9328171988120355,1.8090277777777775,1.793721065523686,0.6885069859694772,0.45548788512084215,0.6610655913690373,1.317463806477835,57.58600755283588
48,US-Me6,126,0.7607270706623668,0.692538089241419,0.8170634920634919,0.7897509151222986,0.2661225511667644,0.130646028864847,0.05633642140112544,0.7334291938816851,7.4056022946670215
49,US-MMS,108,1.4496007032393157,1.3503467193864966,2.1212962962962965,2.106556339698182,0.9566507120534057,0.7404167677778712,0.6716955930569809,1.0682955215792582,46.33659403972365
50,US-Mo1,144,1.7796115623567101,1.1119595457934457,1.9319444444444445,1.7589989515566269,0.6781782205290797,0.6340068232084184,0.15233288208773457,1.0604467067910055,8.559895052940803
51,US-Mo2,144,1.7327760908298824,1.3284446086828319,2.0899305555555556,1.9871754901644145,0.930780839382522,0.8104816680299538,0.35715446472567314,0.8620820596094114,20.611691644165077
52,US-Mo3,144,1.5787635901882497,1.0730235963405361,1.849652777777778,1.9014302357779755,0.7577197140558896,0.6435555292993224,0.270889187589528,1.131261766352278,17.158312319403535
53,US-MOz,72,1.425639904393692,1.368916694188737,2.2944444444444443,2.1980714266988937,0.8253774282109274,0.5853113312781358,0.8688045400507526,1.405613149068037,60.9413735806059
